,order_id,prediction
2,3a226ea48debc0a7ae9950d5540f2f34,75.69238462983255
5,9bf29b56619fcaf60b52690a848e10bb,57.03046201282576
9,299d948a5fd2cf2a921894b9bd24b94e,96.33894296652142
12,150bd9290b2125e67541098173e2cfb1,89.36341741772573
18,844f746ff505c01c088de90bce067b94,49.369600388279224
19,ab03534322f8abd3140872272570870e,120.34760083858865
30,068d9a11dab2ffeac029fdc36451dd68,100.92488373428579
31,83b182c918e77d2ffef47d4566474725,60.21542385536199
36,89cc5e0456aeacb7431fc9b783a8584a,76.2366876338299
48,af24bc3ac3c3dd948a82bef0348f759f,45.9655710584335
54,409275a4f6b35e20bfbab66f3037ca2e,102.73794153963347
63,574a57d8986e3397c9b13906acd59fcb,61.63796778662568
64,c5e0d58824d77bc13c33118db1a6110b,93.55209037053443
71,906f3ab5615f1758face4454f70031b9,100.3850218130932
74,4f5d7e16404296d3d8cccff5f908fbd5,99.25824357748974
76,0eed4822a08aaacb61d1e18de3572be4,81.46875989937894
85,4635b91f7ef36855b002920a4b239e0c,63.53009797317339
87,73211742923c0796fc1ec8b182a5196b,82.10082959698954
92,6cf9a080f5f1b825b0235b616f41fb1e,77.42289539868064
103,f26e8088685904e0bcf387320b6b4b5d,117.32541748173995
109,2e0d7b896b8ae8acf9b6f49f9e20631b,34.82758612661329
114,b2bd24a8089f10b72be1cd2dceb53a99,86.09661723889757
117,ed25d228b65dc7d3f1b6d1cd12647d10,66.8271549496909
118,0cd3abbaf349907a3514cb98bc1cc80a,83.9871765051976
121,338996aa5ed976b0d1d7e8c2038c5e35,86.66644937681313
126,d8687aef151502bb9553a5f60d0d8e02,49.93373767955432
131,717656753d51416d2e4d6e5ee37775cd,89.39621017951154
139,d84ced4e455cfd965842ee11377a0013,111.54459202197523
141,ef85b7725991d40aa78edff360398d37,63.48201835594515
149,cdf9fec582c965d2977c41b8d04d4381,98.08638566227307
158,cca189eb2b1d3207acf7e4e8543b3144,50.47340300463137
160,613aa2b12a93506f8e9c657be0cfc8b4,81.66340191616783
170,b336a35e5b1b78a8b65269a6efb32a73,110.40280010324696
180,89641d2e83aa222d89c952309d3e8139,69.5018891849659
182,ae17205f0782b933ef83dbdb8820acd7,61.477693744371784
183,9cd708ac73cb4c79bd0711d4b2217f4b,42.565153999407535
185,fa7000c783f247818db475e9b80e0c29,84.93954489115026
188,262ed8e0141b72e86a544d015b107659,88.83969222184227
189,4bf8df61ef4129f5778f1ad88246041e,88.39200745080934
191,19939d2a8a256b979e2f55b6fd1eab1e,75.86913980213676
192,7d4c2d9571ca1b4bf957795a92fd3b98,47.82581789248282
193,ebb07d135344c9a5042af04fceaf8bb1,66.96821515707084
197,9993a08a0644a3c37797b437fe116957,95.57395397989266
201,03ba7a78b5b5a5e8d1ab70e0c547f036,70.86641847492632
203,5f481c3689a79a800a724d5229d3c81e,132.02667175794426
211,efc9c37e922fd9bd81a793866123c83e,81.70892675145626
216,63cfd795a9f1b18bb775b179b0f58a69,81.8553485774776
240,2104d3b785dce88c5a7175d9c1528bb3,65.82395966092153
